Wall time,Step,Value
1715239395.51351,186500,8069.18359375
1715239395.8462586,187000,8611.1162109375
1715239396.179692,187500,10059.6220703125
1715239396.5130467,188000,9829.6474609375
1715239396.8461206,188500,11190.9853515625
1715239397.1789067,189000,4759.27978515625
1715239397.5124454,189500,6308.42041015625
1715239397.845727,190000,11567.5419921875
1715239398.178862,190500,8642.7294921875
1715239398.5123253,191000,9140.322265625
1715239398.8454707,191500,4346.42919921875
1715239399.178346,192000,3272.388427734375
1715239399.5118904,192500,7782.27099609375
1715239399.8448548,193000,7768.85498046875
1715239400.1782203,193500,5926.56591796875
1715239400.511528,194000,8252.759765625
1715239400.8444746,194500,9582.546875
1715239401.1768625,195000,9545.71484375
1715239401.509697,195500,9634.6943359375
1715239401.8423443,196000,7166.8955078125
1715239402.1754048,196500,11740.0458984375
1715239402.508024,197000,2251.27783203125
1715239402.8410137,197500,3830.99267578125
1715239403.1742597,198000,5158.26708984375
1715239403.506986,198500,7012.96435546875
1715239403.8393393,199000,7339.20068359375
1715239404.1721766,199500,8676.921875
1715239404.5051625,200000,8381.5224609375
1715239404.8384194,200500,5325.423828125
1715239405.1713579,201000,3577.487548828125
1715239405.504234,201500,9431.4267578125
1715239405.8371794,202000,7321.796875
1715239406.1703303,202500,1172.3492431640625
1715239406.5037286,203000,4434.88427734375
1715239406.8363824,203500,7693.08935546875
1715239407.1689682,204000,4387.39697265625
1715239407.5023475,204500,9364.798828125
1715239407.8352125,205000,6629.40966796875
1715239408.1682148,205500,8484.197265625
1715239408.5011203,206000,3071.022216796875
1715239408.8344212,206500,4177.5029296875
1715239409.1676824,207000,7072.83837890625
1715239409.5012197,207500,6802.6220703125
1715239409.8344102,208000,6448.8955078125
1715239410.1673844,208500,10871.0537109375
1715239410.5005558,209000,4707.9970703125
1715239410.833034,209500,36817.234375
1715239411.1665068,210000,3615.208251953125
1715239411.499611,210500,7540.9970703125
1715239411.8322933,211000,5694.92626953125
1715239412.1651902,211500,2830.487060546875
1715239412.4977329,212000,6219.48583984375
1715239412.831052,212500,1614.9715576171875
1715239413.1643584,213000,11.42004108428955
1715239413.497041,213500,9088.3603515625
1715239413.830354,214000,198.38296508789062
1715239414.1632276,214500,5721.66259765625
1715239414.4959874,215000,6167.05908203125
1715239414.8284996,215500,4715.2119140625
1715239415.1588213,216000,586.5621948242188
1715239415.4900541,216500,594.3886108398438
1715239415.8214247,217000,4406.2626953125
1715239416.1526911,217500,8250.3974609375
1715239416.4840946,218000,389.52703857421875
1715239416.8212938,218500,8087.9931640625
1715239417.152728,219000,3039.09814453125
1715239417.4846265,219500,4560.47705078125
1715239417.8163376,220000,5579.68310546875
1715239418.1471517,220500,3310.41796875
1715239418.4791598,221000,7938.24169921875
1715239418.810824,221500,8535.6240234375
1715239419.1428633,222000,13774.1923828125
1715239419.4754736,222500,2362.78369140625
1715239419.806683,223000,6612.0751953125
1715239420.1381247,223500,251.1503448486328
1715239420.4692497,224000,11454.630859375
1715239420.800863,224500,1783.3251953125
1715239421.132895,225000,7584.88427734375
1715239421.4648058,225500,7617.7734375
1715239421.796631,226000,85488.671875
1715239422.1291323,226500,51134.33203125
1715239422.4607618,227000,7728.15087890625
1715239422.7925022,227500,95589.6796875
1715239423.1248193,228000,4788.43310546875
1715239423.456704,228500,102.8506088256836
1715239423.7887797,229000,2094.929931640625
1715239424.1210153,229500,2910.58642578125
1715239424.4525242,230000,311.7282409667969
1715239424.7841752,230500,4898.06982421875
1715239425.1156588,231000,5916.03564453125
1715239425.447457,231500,988.7228393554688
1715239425.7811432,232000,4136.5498046875
1715239426.1127179,232500,795195.0625
1715239426.4447224,233000,4011.26416015625
1715239426.7761323,233500,2412.189453125
1715239427.1078048,234000,2008.7913818359375
1715239427.4394097,234500,6845.61279296875
1715239427.7706318,235000,171.63121032714844
1715239428.1014535,235500,4988.65234375
1715239428.4352646,236000,1313.473388671875
1715239428.7689798,236500,17534.3984375
1715239429.1012254,237000,7.171755313873291
1715239429.4097214,237500,582.5778198242188
1715239429.7180696,238000,9170.5439453125
1715239430.0268123,238500,7.068075656890869
1715239430.3354816,239000,20222.70703125
1715239430.6442873,239500,10529.830078125
1715239430.953059,240000,4195.6337890625
1715239431.2615752,240500,25108.541015625
1715239431.5699806,241000,727.8670043945312
1715239431.8784904,241500,300.6672058105469
1715239432.1958487,242000,1274.5491943359375
1715239432.5298126,242500,10092.3076171875
1715239432.8622952,243000,17928.134765625
1715239433.1954498,243500,15891.2412109375
1715239433.5289865,244000,18371.61328125
1715239433.8620746,244500,1538.1845703125
1715239434.1955695,245000,4955.96435546875
1715239434.5288897,245500,839.6134033203125
1715239434.8609915,246000,602.6876220703125
1715239435.194121,246500,82.66423797607422
1715239435.527103,247000,17492.880859375
1715239435.8599124,247500,215.1025390625
1715239436.1927288,248000,18775.904296875
1715239436.5257545,248500,6766.3173828125
1715239436.8583636,249000,109469.6875
1715239437.191166,249500,274069.25
1715239437.5124,250000,24559.638671875
1715239437.8208396,250500,10399.1279296875
1715239438.1296291,251000,3258.13720703125
1715239438.4383612,251500,4784.03466796875
1715239438.7468278,252000,6386.904296875
1715239439.0787532,252500,1038.760009765625
1715239439.4111211,253000,7008.93505859375
1715239439.7434955,253500,167.7734832763672
1715239440.076303,254000,59269.875
1715239440.4082246,254500,14294.8505859375
1715239440.7407317,255000,11137.1416015625
1715239441.0727744,255500,8952.3359375
1715239441.405251,256000,236.7326202392578
1715239441.7383687,256500,11.114163398742676
1715239442.0705936,257000,1527.23583984375
1715239442.403314,257500,44.930545806884766
1715239442.7348301,258000,6277.09130859375
1715239443.0664108,258500,2950.263671875
1715239443.3977072,259000,6263.7822265625
1715239443.7290344,259500,6116.697265625
1715239444.0614014,260000,3922.11328125
1715239444.3935518,260500,6465.64306640625
1715239444.7255378,261000,7070.2431640625
1715239445.0570908,261500,6930.6142578125
1715239445.3888984,262000,5495.40234375
1715239445.7210171,262500,5216.57080078125
1715239446.0529888,263000,7201.8798828125
1715239446.3845415,263500,4626.88037109375
1715239446.7162318,264000,4580.25146484375
1715239447.0482588,264500,3977.702392578125
1715239447.3798158,265000,3804.555908203125
1715239447.7115202,265500,7147.45556640625
1715239448.0430176,266000,6670.1611328125
1715239448.3750057,266500,4026.383544921875
1715239448.7075422,267000,3314.739990234375
1715239449.039796,267500,3054.762451171875
1715239449.3779235,268000,9093.1484375
1715239449.7109861,268500,4367.6572265625
1715239450.0436194,269000,23065.677734375
1715239450.3766327,269500,8921.7900390625
1715239450.7092977,270000,1318.8934326171875
1715239451.0417454,270500,6398.98974609375
1715239451.3741252,271000,218.73716735839844
1715239451.7070148,271500,598.6380004882812
1715239452.040077,272000,3170.89501953125
1715239452.3732145,272500,560.3748168945312
1715239452.7054489,273000,12817.65234375
1715239453.0384922,273500,6731.34765625
1715239453.3710911,274000,592.8771362304688
1715239453.703249,274500,415.0269470214844
1715239454.0370145,275000,70642.8984375
1715239454.3695025,275500,2298.233642578125
1715239454.7026563,276000,1480.7452392578125
1715239455.0356774,276500,4920.5009765625
1715239455.367654,277000,5742.2470703125
1715239455.7008972,277500,3120.50732421875
1715239456.033304,278000,2531.91943359375
1715239456.3658931,278500,3341.528076171875
1715239456.6988423,279000,8711.2177734375
1715239457.0315628,279500,1604.3148193359375
1715239457.364665,280000,4225.17724609375
1715239457.6975355,280500,1139.2867431640625
1715239458.0304015,281000,20474.826171875
1715239458.3626096,281500,10720.6201171875
1715239458.6977117,282000,4919.8798828125
1715239459.030645,282500,2664.950439453125
1715239459.3637414,283000,4601.50732421875
1715239459.6965644,283500,5031.39599609375
1715239460.0286808,284000,3141.384521484375
1715239460.362189,284500,3457.698486328125
1715239460.695328,285000,2118.296875
1715239461.0284772,285500,6034.521484375
1715239461.3617666,286000,5939.48779296875
1715239461.6944041,286500,7188.32958984375
1715239462.0269957,287000,1775.1771240234375
1715239462.3598773,287500,2554.308837890625
1715239462.6923006,288000,3049.295654296875
1715239463.025239,288500,8513.9501953125
1715239463.357926,289000,6047.62451171875
1715239463.69027,289500,3339.868896484375
1715239464.0230615,290000,3471.85791015625
1715239464.3558755,290500,3787.43359375
1715239464.6881733,291000,3890.0390625
1715239465.0210648,291500,2543.158203125
1715239465.3537312,292000,3749.327880859375
1715239465.686412,292500,1544.7449951171875
1715239466.0186627,293000,10732.56640625
1715239466.3510413,293500,4338.43505859375
1715239466.684198,294000,6545.49169921875
1715239467.017639,294500,6680.6298828125
1715239467.3499205,295000,4389.57666015625
1715239467.6832619,295500,6009.28369140625
1715239468.0164237,296000,2461.3212890625
1715239468.3488483,296500,3749.26806640625
1715239468.6813474,297000,5170.220703125
1715239469.0136647,297500,4530.5205078125
1715239469.3463857,298000,6813.94677734375
1715239469.6788895,298500,5411.8955078125
1715239470.0114164,299000,5664.54541015625
1715239470.3435857,299500,2361.15869140625
1715239470.6763394,300000,1115.2059326171875
1715239471.0094807,300500,3370.410888671875
1715239471.3419771,301000,2752.713623046875
1715239471.6751041,301500,3995.091552734375
1715239472.007691,302000,3444.6171875
1715239472.3408604,302500,5801.89599609375
1715239472.6731925,303000,3287.155517578125
1715239473.0056446,303500,4579.96044921875
1715239473.338262,304000,4027.87744140625
1715239473.6705487,304500,7131.47802734375
1715239474.003854,305000,1082.1453857421875
1715239474.3359067,305500,6108.35107421875
1715239474.6682289,306000,4321.60107421875
1715239475.0009687,306500,6747.68505859375
1715239475.3327556,307000,3811.30517578125
1715239475.665162,307500,3500.232177734375
1715239475.9984806,308000,6660.140625
1715239476.3313081,308500,947.1456298828125
1715239476.6631286,309000,1464.287109375
1715239476.995327,309500,826305.8125
1715239477.3270357,310000,351.3997497558594
1715239477.6595883,310500,14.517878532409668
1715239477.9925714,311000,875979.125
1715239478.3255816,311500,8828.087890625
1715239478.6585104,312000,4267.78271484375
1715239478.9911525,312500,6349.08935546875
1715239479.3235354,313000,5593.9453125
1715239479.6571085,313500,3481.186279296875
1715239479.9896429,314000,5955.84716796875
1715239480.3226788,314500,4035.04296875
1715239480.6563928,315000,5023.1650390625
1715239480.9885478,315500,3380.940185546875
1715239481.3215418,316000,6732.58056640625
1715239481.6544354,316500,4621.17529296875
1715239481.9875517,317000,5297.2705078125
1715239482.3204582,317500,5422.27978515625
1715239482.6529832,318000,8218.8173828125
1715239482.985149,318500,4311.15380859375
1715239483.317514,319000,1733.6937255859375
1715239483.6498733,319500,44853.5390625
1715239483.9827805,320000,26059.58203125
1715239484.3156943,320500,11007.0146484375
1715239484.6476617,321000,6336.5966796875
1715239484.9800456,321500,2889.46337890625
1715239485.3123574,322000,4699.08251953125
1715239485.644972,322500,5900.0751953125
1715239485.9778917,323000,4688.78857421875
1715239486.3103755,323500,4563.93310546875
1715239486.6434927,324000,7186.9697265625
1715239486.9763758,324500,5199.61083984375
1715239487.307659,325000,5351.990234375
1715239487.6383052,325500,5684.44677734375
1715239487.97,326000,5958.88623046875
1715239488.3013577,326500,668.6669311523438
1715239488.6322536,327000,5219.80419921875
1715239488.9630923,327500,4343.162109375
1715239489.294171,328000,4954.17529296875
1715239489.6261296,328500,290527.59375
1715239489.9577086,329000,12862.3203125
1715239490.2890158,329500,17069.625
1715239490.6193547,330000,22119.41015625
1715239490.9502552,330500,4262.64599609375
1715239491.2813718,331000,63344.4765625
1715239491.6125276,331500,10339.2333984375
1715239491.9444828,332000,2344.579345703125
1715239492.2757666,332500,5892.6015625
1715239492.6072276,333000,4827.39794921875
1715239492.938183,333500,4444.95166015625
1715239493.2699885,334000,2955.01318359375
1715239493.6010294,334500,3746.221435546875
1715239493.9324684,335000,6962652.0
1715239494.2642486,335500,2078.62548828125
1715239494.5958118,336000,51917.96875
1715239494.928307,336500,9026.220703125
1715239495.2604537,337000,2300.61962890625
